,A,AA,AE,AO,E,EA,EE,EO,O,OA,OE,OO,argument,narrative
train,0.2727272727272727,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.45454545454545453,0.09090909090909091,0.22727272727272727,0.09090909090909091,0.2727272727272727,0.045454545454545456,0.13636363636363635,0.09090909090909091,train,21
development,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.0,0.3333333333333333,development,22
test,0.16666666666666666,0.08333333333333333,0.0625,0.020833333333333332,0.5625,0.0625,0.4375,0.041666666666666664,0.2708333333333333,0.020833333333333332,0.0625,0.1875,test,23
test,0.09302325581395349,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.6976744186046512,0.06976744186046512,0.5348837209302325,0.06976744186046512,0.20930232558139536,0.0,0.11627906976744186,0.09302325581395349,test,24
train,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.21052631578947367,0.0,0.05263157894736842,0.15789473684210525,0.6842105263157895,0.05263157894736842,0.10526315789473684,0.47368421052631576,train,25
train,0.19047619047619047,0.11904761904761904,0.023809523809523808,0.047619047619047616,0.3333333333333333,0.023809523809523808,0.21428571428571427,0.07142857142857142,0.47619047619047616,0.047619047619047616,0.09523809523809523,0.3333333333333333,train,26
train,0.25,0.15625,0.09375,0.0,0.4375,0.0625,0.21875,0.125,0.3125,0.03125,0.125,0.15625,train,27
test,0.14772727272727273,0.045454545454545456,0.045454545454545456,0.056818181818181816,0.5227272727272727,0.045454545454545456,0.3409090909090909,0.125,0.32954545454545453,0.056818181818181816,0.13636363636363635,0.13636363636363635,test,28
train,0.38,0.24,0.1,0.04,0.34,0.1,0.18,0.04,0.28,0.04,0.06,0.18,train,29
test,0.125,0.0,0.08333333333333333,0.041666666666666664,0.5,0.08333333333333333,0.25,0.125,0.375,0.041666666666666664,0.16666666666666666,0.16666666666666666,test,30
train,0.125,0.0,0.125,0.0,0.625,0.125,0.25,0.1875,0.25,0.0,0.25,0.0,train,31
train,0.4074074074074074,0.1111111111111111,0.25925925925925924,0.037037037037037035,0.4444444444444444,0.25925925925925924,0.14814814814814814,0.0,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.07407407407407407,train,32
train,0.26785714285714285,0.14285714285714285,0.08928571428571429,0.03571428571428571,0.5,0.05357142857142857,0.375,0.05357142857142857,0.21428571428571427,0.07142857142857142,0.03571428571428571,0.10714285714285714,train,33
train,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.0,0.5,0.08333333333333333,0.08333333333333333,0.3333333333333333,train,34
train,0.5,0.22413793103448276,0.15517241379310345,0.10344827586206896,0.3103448275862069,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.1896551724137931,0.06896551724137931,0.08620689655172414,0.034482758620689655,train,35
train,0.25,0.09,0.1,0.03,0.42,0.07,0.25,0.05,0.22,0.03,0.05,0.1,train,36
development,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.0,0.7368421052631579,0.05263157894736842,0.6052631578947368,0.05263157894736842,0.18421052631578946,0.0,0.07894736842105263,0.10526315789473684,development,37
development,0.2857142857142857,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.5,0.10714285714285714,0.32142857142857145,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.10714285714285714,0.07142857142857142,development,38
train,0.48717948717948717,0.2564102564102564,0.20512820512820512,0.02564102564102564,0.358974358974359,0.10256410256410256,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.1282051282051282,0.0,0.02564102564102564,train,39
train,0.41025641025641024,0.23076923076923078,0.1282051282051282,0.05128205128205128,0.358974358974359,0.1282051282051282,0.15384615384615385,0.05128205128205128,0.23076923076923078,0.05128205128205128,0.07692307692307693,0.10256410256410256,train,40
train,0.40816326530612246,0.22448979591836735,0.16326530612244897,0.02040816326530612,0.32653061224489793,0.12244897959183673,0.12244897959183673,0.061224489795918366,0.22448979591836735,0.061224489795918366,0.04081632653061224,0.12244897959183673,train,41
development,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0.3333333333333333,development,42
train,0.24528301886792453,0.11320754716981132,0.09433962264150944,0.03773584905660377,0.4528301886792453,0.09433962264150944,0.24528301886792453,0.09433962264150944,0.3018867924528302,0.03773584905660377,0.11320754716981132,0.1509433962264151,train,43
train,0.4791666666666667,0.3125,0.020833333333333332,0.14583333333333334,0.22916666666666666,0.041666666666666664,0.14583333333333334,0.020833333333333332,0.2708333333333333,0.125,0.041666666666666664,0.10416666666666667,train,44
train,0.4166666666666667,0.2916666666666667,0.041666666666666664,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.08333333333333333,0.125,train,45
test,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.25,0.0,0.0,0.0,test,46
train,0.25,0.2,0.05,0.0,0.3,0.05,0.1,0.1,0.4,0.0,0.15,0.25,train,47
train,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.6,0.06666666666666667,0.4,0.06666666666666667,0.2,0.06666666666666667,0.13333333333333333,0.0,train,48
test,0.43859649122807015,0.23684210526315788,0.15789473684210525,0.043859649122807015,0.41228070175438597,0.14035087719298245,0.21929824561403508,0.02631578947368421,0.13157894736842105,0.05263157894736842,0.03508771929824561,0.043859649122807015,test,49
train,0.3,0.1,0.2,0.0,0.5,0.2,0.2,0.0,0.2,0.0,0.1,0.1,train,50
